Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
DEUTNP  1953       5.46       5.24
DEUTNP  1954       5.48       5.24
DEUTNP  1955       5.46       5.22
DEUTNP  1956       5.47       5.21
DEUTNP  1957       5.48       5.21
DEUTNP  1958       5.47       5.19
DEUTNP  1959       5.48       5.20
DEUTNP  1960       5.53       5.23
DEUTNP  1961       5.55       5.25
DEUTNP  1962       5.58       5.27
DEUTNP  1963       5.60       5.28
DEUTNP  1964       5.64       5.30
DEUTNP  1965       5.67       5.31
DEUTNP  1966       5.70       5.32
DEUTNP  1967       5.73       5.35
DEUTNP  1968          .       5.37
DEUTNP  1969          .       5.38
DEUTNP  1970          .       5.41
DEUTNP  1971          .       5.43
DEUTNP  1972          .       5.45
DEUTNP  1973          .       5.46
DEUTNP  1974          .       5.47
DEUTNP  1975          .       5.47
DEUTNP  1976          .       5.46
DEUTNP  1977          .       5.46
DEUTW  1941       4.77       4.57
DEUTW  1942       4.89       4.67
DEUTW  1943       4.97       4.76
DEUTW  1944       5.08       4.86
DEUTW  1945       5.24       5.00
DEUTW  1946       5.29       5.05
DEUTW  1947       5.36       5.13
DEUTW  1948       5.44       5.20
DEUTW  1949       5.49       5.25
DEUTW  1950       5.54       5.28
DEUTW  1951       5.58       5.34
DEUTW  1952       5.60       5.36
DEUTW  1953       5.62       5.38
DEUTW  1954       5.63       5.38
DEUTW  1955       5.60       5.35
DEUTW  1956       5.58       5.32
DEUTW  1957       5.56       5.28
DEUTW  1958       5.51       5.24
DEUTW  1959       5.49       5.21
DEUTW  1960       5.50       5.21
DEUTW  1961       5.47       5.17
DEUTW  1962       5.47       5.16
DEUTW  1963       5.44       5.11
DEUTW  1964       5.43       5.09
DEUTW  1965       5.43       5.07
DEUTW  1966       5.45       5.07
DEUTW  1967       5.48       5.09
DEUTW  1968          .       5.14
DEUTW  1969          .       5.21
DEUTW  1970          .       5.30
DEUTW  1971          .       5.35
DEUTW  1972          .       5.41
DEUTW  1973          .       5.46
DEUTW  1974          .       5.47
DEUTW  1975          .       5.48
DEUTW  1976          .       5.48
DEUTW  1977          .       5.49
DEUTE  1941       4.44       4.32
DEUTE  1942       4.46       4.34
DEUTE  1943       4.44       4.33
DEUTE  1944       4.49       4.37
DEUTE  1945       4.57       4.44
DEUTE  1946       4.63       4.49
DEUTE  1947       4.67       4.54
DEUTE  1948       4.71       4.59
DEUTE  1949       4.73       4.62
DEUTE  1950       4.72       4.60
DEUTE  1951       4.68       4.57
DEUTE  1952       4.65       4.53
DEUTE  1953       4.56       4.44
DEUTE  1954       4.51       4.36
DEUTE  1955       4.43       4.27
DEUTE  1956       4.41       4.22
DEUTE  1957       4.42       4.22
DEUTE  1958       4.42       4.19
DEUTE  1959       4.48       4.23
DEUTE  1960       4.53       4.28
DEUTE  1961       4.67       4.39
DEUTE  1962       4.80       4.49
DEUTE  1963       4.96       4.66
DEUTE  1964       5.18       4.87
DEUTE  1965       5.45       5.12
DEUTE  1966       5.65       5.30
DEUTE  1967       5.84       5.48
DEUTE  1968          .       5.59
DEUTE  1969          .       5.62
DEUTE  1970          .       5.62
DEUTE  1971          .       5.53
DEUTE  1972          .       5.43
DEUTE  1973          .       5.32
DEUTE  1974          .       5.27
DEUTE  1975          .       5.23
DEUTE  1976          .       5.22
DEUTE  1977          .       5.22
HUN  1935       5.22       4.96
HUN  1936       5.22       4.99
HUN  1937       5.22       5.02
HUN  1938       5.23       5.03
HUN  1939       5.21       5.02
HUN  1940       5.16       4.99
HUN  1941       5.13       4.95
HUN  1942       5.07       4.90
HUN  1943       5.00       4.84
HUN  1944       4.93       4.75
HUN  1945       4.89       4.69
HUN  1946       4.87       4.66
HUN  1947       4.84       4.63
HUN  1948       4.85       4.63
HUN  1949       4.89       4.66
HUN  1950       4.87       4.65
HUN  1951       4.91       4.67
HUN  1952       4.98       4.73
HUN  1953       5.02       4.78
HUN  1954       5.07       4.83
HUN  1955       5.10       4.89
HUN  1956       5.16       4.94
HUN  1957       5.25       5.02
HUN  1958       5.26       5.03
HUN  1959       5.30       5.05
HUN  1960       5.33       5.06
HUN  1961       5.32       5.05
HUN  1962       5.34       5.07
HUN  1963       5.37       5.06
HUN  1964       5.40       5.08
HUN  1965       5.42       5.10
HUN  1966       5.52       5.17
HUN  1967       5.62       5.26
HUN  1968          .       5.34
HUN  1969          .       5.44
HUN  1970          .       5.54
