Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort    CMAB    CMAB40
PRT  1932     29.33     28.62
PRT  1933     29.21     28.55
PRT  1934     29.05     28.44
PRT  1935     28.85     28.31
PRT  1936     28.69     28.20
PRT  1937     28.50     28.06
PRT  1938     28.34     27.94
PRT  1939     28.16     27.77
PRT  1940     27.87     27.52
PRT  1941     27.65     27.32
PRT  1942     27.45     27.15
PRT  1943     27.32     27.04
PRT  1944     27.20     26.93
PRT  1945     27.09     26.84
PRT  1946     26.99     26.75
PRT  1947     26.80     26.59
PRT  1948     26.81     26.60
PRT  1949     26.74     26.53
PRT  1950     26.74     26.51
PRT  1951     26.65     26.44
PRT  1952     26.57     26.35
PRT  1953     26.42     26.20
PRT  1954     26.27     26.05
PRT  1955     26.14     25.91
PRT  1956     26.10     25.86
PRT  1957     26.06     25.81
PRT  1958     26.16     25.91
PRT  1959     26.31     26.04
PRT  1960     26.51     26.22
PRT  1961     26.76     26.45
PRT  1962     26.90     26.59
PRT  1963     27.12     26.81
PRT  1964     27.22     26.91
PRT  1965     27.46     27.13
PRT  1966         .     27.24
PRT  1967         .     27.44
PRT  1968         .     27.63
PRT  1969         .     27.80
PRT  1970         .     28.07
PRT  1971         .     28.21
PRT  1972         .     28.35
PRT  1973         .     28.46
PRT  1974         .     28.57
PRT  1975         .     28.70
KOR  1968         .     27.74
KOR  1969         .     27.99
KOR  1970         .     28.27
KOR  1971         .     28.53
RUS  1944     26.14     25.93
RUS  1945     26.07     25.86
RUS  1946     26.14     25.93
RUS  1947     26.28     26.07
RUS  1948     26.21     26.03
RUS  1949     26.23     26.07
RUS  1950     26.19     26.05
RUS  1951     26.16     26.04
RUS  1952     26.11     26.01
RUS  1953     26.02     25.92
RUS  1954     25.91     25.82
RUS  1955     25.80     25.70
RUS  1956     25.66     25.56
RUS  1957     25.52     25.42
RUS  1958     25.37     25.26
RUS  1959     25.20     25.09
RUS  1960     25.05     24.93
RUS  1961     24.96     24.82
RUS  1962     24.90     24.74
RUS  1963     24.85     24.68
RUS  1964     24.82     24.63
RUS  1965         .     24.60
RUS  1966         .     24.64
RUS  1967         .     24.71
RUS  1968         .     24.81
RUS  1969         .     24.93
RUS  1970         .     25.10
RUS  1971         .     25.34
RUS  1972         .     25.59
RUS  1973         .     25.82
RUS  1974         .     26.07
SVK  1935     25.96     25.79
SVK  1936     25.93     25.77
SVK  1937     25.83     25.68
SVK  1938     25.73     25.59
SVK  1939     25.62     25.49
SVK  1940     25.59     25.47
SVK  1941     25.56     25.45
SVK  1942     25.55     25.45
SVK  1943     25.52     25.42
SVK  1944     25.47     25.37
SVK  1945     25.51     25.41
SVK  1946     25.51     25.42
SVK  1947     25.49     25.40
